league,comp,round,h_coach,h_team,h_img,h_score,a_score,a_img,a_team,a_coach,uuid,ID
BigO,Season 7 Div 1,10,DeezMFK,Drakkar's Dominators,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,White Line,Morka,00000000,0
BigO,Season 7 Div 1,9,Miraskadu,TARDIS,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,WesC's Wolves,WesleyC,00000000,0
BigO,Season 7 Div 1,9,Lyskaris,Warc Machine III,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,9,schlice,Ratfuckers United,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,Bay Area Butchers,Starkeweather,00000000,0
BigO,Season 7 Div 1,9,HirumaMajere,Flying Rainbow Ponies,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00000000,0
BigO,Season 7 Div 1,9,DeezMFK,Drakkar's Dominators,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Capital Rats,Lynxx,00000000,0
BigO,Season 7 Div 1,9,Morka,White Line,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,00000000,0
BigO,Season 7 Div 1,8,HirumaMajere,Flying Rainbow Ponies,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,TARDIS,Miraskadu,00000000,0
BigO,Season 7 Div 1,8,schlice,Ratfuckers United,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,Drakkar's Dominators,DeezMFK,00000000,0
BigO,Season 7 Div 1,8,Lyskaris,Warc Machine III,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,White Line,Morka,00000000,0
BigO,Season 7 Div 1,8,WesleyC,WesC's Wolves,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,00000000,0
BigO,Season 7 Div 1,8,Sandune,Shadowhill Cowboys,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Capital Rats,Lynxx,00000000,0
BigO,Season 7 Div 1,8,Starkeweather,Bay Area Butchers,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00000000,0
BigO,Season 7 Div 1,7,Morka,White Line,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,TARDIS,Miraskadu,00000000,0
BigO,Season 7 Div 1,7,DeezMFK,Drakkar's Dominators,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,00000000,0
BigO,Season 7 Div 1,7,HirumaMajere,Flying Rainbow Ponies,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Capital Rats,Lynxx,00000000,0
BigO,Season 7 Div 1,7,schlice,Ratfuckers United,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00000000,0
BigO,Season 7 Div 1,7,Lyskaris,Warc Machine III,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,Bay Area Butchers,Starkeweather,00000000,0
BigO,Season 7 Div 1,7,WesleyC,WesC's Wolves,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,6,Miraskadu,TARDIS,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,Drakkar's Dominators,DeezMFK,00000000,0
BigO,Season 7 Div 1,6,Morka,White Line,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Flying Rainbow Ponies,HirumaMajere,00000000,0
BigO,Season 7 Div 1,6,Walkerthon,The Astrorkz,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Ratfuckers United,schlice,00000000,0
BigO,Season 7 Div 1,6,Lynxx,Capital Rats,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Warc Machine III,Lyskaris,00000000,0
BigO,Season 7 Div 1,6,PapaNasty,Bash Incorporated,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,WesC's Wolves,WesleyC,00000000,0
BigO,Season 7 Div 1,6,Starkeweather,Bay Area Butchers,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,5,Miraskadu,TARDIS,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,00000000,0
BigO,Season 7 Div 1,5,Lynxx,Capital Rats,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,White Line,Morka,00000000,0
BigO,Season 7 Div 1,5,PapaNasty,Bash Incorporated,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,Drakkar's Dominators,DeezMFK,00000000,0
BigO,Season 7 Div 1,5,Starkeweather,Bay Area Butchers,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Flying Rainbow Ponies,HirumaMajere,00000000,0
BigO,Season 7 Div 1,5,Sandune,Shadowhill Cowboys,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Ratfuckers United,schlice,00000000,0
BigO,Season 7 Div 1,5,WesleyC,WesC's Wolves,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Warc Machine III,Lyskaris,00000000,0
BigO,Season 7 Div 1,4,Starkeweather,Bay Area Butchers,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,TARDIS,Miraskadu,00000000,0
BigO,Season 7 Div 1,4,PapaNasty,Bash Incorporated,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,4,Lynxx,Capital Rats,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,WesC's Wolves,WesleyC,00000000,0
BigO,Season 7 Div 1,4,Walkerthon,The Astrorkz,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Warc Machine III,Lyskaris,00000000,0
BigO,Season 7 Div 1,4,Morka,White Line,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Ratfuckers United,schlice,00000000,0
BigO,Season 7 Div 1,4,DeezMFK,Drakkar's Dominators,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Flying Rainbow Ponies,HirumaMajere,00000000,0
BigO,Season 7 Div 1,3,Miraskadu,TARDIS,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Ratfuckers United,schlice,00000000,0
BigO,Season 7 Div 1,3,HirumaMajere,Flying Rainbow Ponies,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Warc Machine III,Lyskaris,00000000,0
BigO,Season 7 Div 1,3,DeezMFK,Drakkar's Dominators,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,WesC's Wolves,WesleyC,00000000,0
BigO,Season 7 Div 1,3,Morka,White Line,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,Shadowhill Cowboys,Sandune,00000000,0
BigO,Season 7 Div 1,3,Walkerthon,The Astrorkz,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,Bay Area Butchers,Starkeweather,00000000,0
BigO,Season 7 Div 1,3,Lynxx,Capital Rats,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00000000,0
BigO,Season 7 Div 1,2,Lynxx,Capital Rats,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,2,1,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,0039d67f,3790463
BigO,Season 7 Div 1,2,Starkeweather,Bay Area Butchers,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,Drakkar's Dominators,DeezMFK,0039d1a2,3789218
BigO,Season 7 Div 1,2,Sandune,Shadowhill Cowboys,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,2,1,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Flying Rainbow Ponies,HirumaMajere,0039ce63,3788387
BigO,Season 7 Div 1,2,Lyskaris,Warc Machine III,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,TARDIS,Miraskadu,0039b7cd,3782605
BigO,Season 7 Div 1,2,WesleyC,WesC's Wolves,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,3,1,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Ratfuckers United,schlice,0039a49b,3777691
BigO,Season 7 Div 1,2,PapaNasty,Bash Incorporated,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,1,0,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,White Line,Morka,0039946f,3773551
BigO,Season 7 Div 1,1,Starkeweather,Bay Area Butchers,http://images.bb2.cyanide-studio.com/races/Picto_Human.png,1,3,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Capital Rats,Lynxx,00395a72,3758706
BigO,Season 7 Div 1,1,Miraskadu,TARDIS,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Bash Incorporated,PapaNasty,00393ed6,3751638
BigO,Season 7 Div 1,1,schlice,Ratfuckers United,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,2,2,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Flying Rainbow Ponies,HirumaMajere,00393ebf,3751615
BigO,Season 7 Div 1,1,Sandune,Shadowhill Cowboys,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,The Astrorkz,Walkerthon,0039333e,3748670
BigO,Season 7 Div 1,1,Lyskaris,Warc Machine III,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Norse.png,Drakkar's Dominators,DeezMFK,0038fca3,3734691
BigO,Season 7 Div 1,1,WesleyC,WesC's Wolves,http://images.bb2.cyanide-studio.com/races/Picto_Necromantic.png,1,5,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,White Line,Morka,0038f52b,3732779
BigO,Season 7 Div 2,9,Yabby69,Yabby's ReBBeLs,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Perfecto!,Breac,00000000,0
BigO,Season 7 Div 2,9,The Peacock,"Et Tu, Eric?",http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Old Hobart Honeybadgers,Munkey Chunks,00000000,0
BigO,Season 7 Div 2,9,Durteef Basha,Lazy Lounge Lizards UTD,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,Poopy Smells,BrainOnSlugs,00000000,0
BigO,Season 7 Div 2,9,Squiggy1981,The ReBBRL Invasion,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,Catastrophy,Findeco,00000000,0
BigO,Season 7 Div 2,9,AtomicCaleb,Rats Of The Ancient,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,The Emperor says...,liamcoulston,00000000,0
BigO,Season 7 Div 2,8,The Peacock,"Et Tu, Eric?",http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Yabby's ReBBeLs,Yabby69,00000000,0
BigO,Season 7 Div 2,8,Breac,Perfecto!,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Lazy Lounge Lizards UTD,Durteef Basha,00000000,0
BigO,Season 7 Div 2,8,Munkey Chunks,Old Hobart Honeybadgers,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,The ReBBRL Invasion,Squiggy1981,00000000,0
BigO,Season 7 Div 2,8,BrainOnSlugs,Poopy Smells,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Rats Of The Ancient,AtomicCaleb,00000000,0
BigO,Season 7 Div 2,8,Findeco,Catastrophy,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,,,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,The Emperor says...,liamcoulston,00000000,0
BigO,Season 7 Div 2,7,BrainOnSlugs,Poopy Smells,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Yabby's ReBBeLs,Yabby69,00000000,0
BigO,Season 7 Div 2,7,Findeco,Catastrophy,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Old Hobart Honeybadgers,Munkey Chunks,00000000,0
BigO,Season 7 Div 2,7,liamcoulston,The Emperor says...,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Perfecto!,Breac,00000000,0
BigO,Season 7 Div 2,7,AtomicCaleb,Rats Of The Ancient,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,"Et Tu, Eric?",The Peacock,00000000,0
BigO,Season 7 Div 2,7,Squiggy1981,The ReBBRL Invasion,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Lazy Lounge Lizards UTD,Durteef Basha,00000000,0
BigO,Season 7 Div 2,6,Yabby69,Yabby's ReBBeLs,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Rats Of The Ancient,AtomicCaleb,00000000,0
BigO,Season 7 Div 2,6,liamcoulston,The Emperor says...,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,The ReBBRL Invasion,Squiggy1981,00000000,0
BigO,Season 7 Div 2,6,Findeco,Catastrophy,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Lazy Lounge Lizards UTD,Durteef Basha,00000000,0
BigO,Season 7 Div 2,6,BrainOnSlugs,Poopy Smells,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,"Et Tu, Eric?",The Peacock,00000000,0
BigO,Season 7 Div 2,6,Munkey Chunks,Old Hobart Honeybadgers,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Perfecto!,Breac,00000000,0
BigO,Season 7 Div 2,5,liamcoulston,The Emperor says...,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Yabby's ReBBeLs,Yabby69,00000000,0
BigO,Season 7 Div 2,5,AtomicCaleb,Rats Of The Ancient,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,Catastrophy,Findeco,00000000,0
BigO,Season 7 Div 2,5,Squiggy1981,The ReBBRL Invasion,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,Poopy Smells,BrainOnSlugs,00000000,0
BigO,Season 7 Div 2,5,Durteef Basha,Lazy Lounge Lizards UTD,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Old Hobart Honeybadgers,Munkey Chunks,00000000,0
BigO,Season 7 Div 2,5,The Peacock,"Et Tu, Eric?",http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Perfecto!,Breac,00000000,0
BigO,Season 7 Div 2,4,Yabby69,Yabby's ReBBeLs,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Lazy Lounge Lizards UTD,Durteef Basha,00000000,0
BigO,Season 7 Div 2,4,Squiggy1981,The ReBBRL Invasion,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,"Et Tu, Eric?",The Peacock,00000000,0
BigO,Season 7 Div 2,4,AtomicCaleb,Rats Of The Ancient,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Perfecto!,Breac,00000000,0
BigO,Season 7 Div 2,4,liamcoulston,The Emperor says...,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Old Hobart Honeybadgers,Munkey Chunks,00000000,0
BigO,Season 7 Div 2,4,Findeco,Catastrophy,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,Poopy Smells,BrainOnSlugs,00000000,0
BigO,Season 7 Div 2,3,Squiggy1981,The ReBBRL Invasion,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,Yabby's ReBBeLs,Yabby69,00000000,0
BigO,Season 7 Div 2,3,Durteef Basha,Lazy Lounge Lizards UTD,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Rats Of The Ancient,AtomicCaleb,00000000,0
BigO,Season 7 Div 2,3,The Peacock,"Et Tu, Eric?",http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,,,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,The Emperor says...,liamcoulston,00000000,0
BigO,Season 7 Div 2,3,Breac,Perfecto!,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,Catastrophy,Findeco,00000000,0
BigO,Season 7 Div 2,3,Munkey Chunks,Old Hobart Honeybadgers,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,Poopy Smells,BrainOnSlugs,00000000,0
BigO,Season 7 Div 2,2,BrainOnSlugs,Poopy Smells,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,1,1,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,The Emperor says...,liamcoulston,0039a80e,3778574
BigO,Season 7 Div 2,2,The Peacock,"Et Tu, Eric?",http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,1,0,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,Lazy Lounge Lizards UTD,Durteef Basha,00399609,3773961
BigO,Season 7 Div 2,2,Munkey Chunks,Old Hobart Honeybadgers,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,0,2,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Rats Of The Ancient,AtomicCaleb,00399589,3773833
BigO,Season 7 Div 2,2,Yabby69,Yabby's ReBBeLs,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,Catastrophy,Findeco,00000000,0
BigO,Season 7 Div 2,2,Breac,Perfecto!,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,The ReBBRL Invasion,Squiggy1981,00000000,0
BigO,Season 7 Div 2,1,Yabby69,Yabby's ReBBeLs,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,2,0,http://images.bb2.cyanide-studio.com/races/Picto_HighElf.png,Old Hobart Honeybadgers,Munkey Chunks,00393fce,3751886
BigO,Season 7 Div 2,1,Durteef Basha,Lazy Lounge Lizards UTD,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,0,2,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,The Emperor says...,liamcoulston,00391936,3742006
BigO,Season 7 Div 2,1,Breac,Perfecto!,http://images.bb2.cyanide-studio.com/races/Picto_Lizardman.png,1,1,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,Poopy Smells,BrainOnSlugs,003908b6,3737782
BigO,Season 7 Div 2,1,The Peacock,"Et Tu, Eric?",http://images.bb2.cyanide-studio.com/races/Picto_Khemri.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Chaos.png,Catastrophy,Findeco,0038f724,3733284
BigO,Season 7 Div 2,1,Squiggy1981,The ReBBRL Invasion,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,1,2,http://images.bb2.cyanide-studio.com/races/Picto_Skaven.png,Rats Of The Ancient,AtomicCaleb,0038f0da,3731674
BigO,Season 7 Div 3a,11,Lark,Bye Week - Big O Div 3a,http://images.bb2.cyanide-studio.com/races/Picto_Dwarf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_WoodElf.png,SLP2: Scrub Harder,bobomajo,00000000,0
BigO,Season 7 Div 3a,11,Darkness,Faces of 4chan,http://images.bb2.cyanide-studio.com/races/Picto_Nurgle.png,,,http://images.bb2.cyanide-studio.com/races/Picto_ChaosDwarf.png,The Shadows II,Zygmund,00000000,0
BigO,Season 7 Div 3a,11,Bush20089,SAFE  MOVES FIRST,http://images.bb2.cyanide-studio.com/races/Picto_Orc.png,,,http://images.bb2.cyanide-studio.com/races/Picto_ProElf.png,The Arcana,Tommo,00000000,0
BigO,Season 7 Div 3a,11,JapeNZ,Doomed Witches,http://images.bb2.cyanide-studio.com/races/Picto_DarkElf.png,,,http://images.bb2.cyanide-studio.com/races/Picto_Underworld.png,TeenageMutantNinjaGoblins,Gdaynick,00000000,0
